№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
1;2;3;4;5;6;7;8;;
100;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-01.101 Стол лабораторный (СЛ-06.3). Рабочая поверхность ЛВД. Габаритные размеры 900 х 750 х 750 мм;шт;4;1691,57;6766,28;;;106
101;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-01.501 Стол лабораторный (СЛ-06.3). Рабочая поверхность химически стойкий пластик SPC Габаритные размеры 900 х 750 х 750 мм;шт;14;3005,74;42080,36;;;131
102;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-01.511 Стол лабораторный (СЛ-06.5). Рабочая поверхность химически стойкий пластик SPC Габаритные размеры 1200 х 750 х 750 мм;шт;34;3760,17;127845,78;;;132
103;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-01.512 Стол лабораторный (СЛ-06.6). Рабочая поверхность химически стойкий пластик SPC Габаритные размеры 1200 х 750 х 900 мм;шт;2;3845,39;7690,78;;;132
104;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-01.521 Стол лабораторный (СЛ-06.7). Рабочая поверхность химически стойкий пластик SPC Габаритные размеры 1500 х 750 х 750 мм;шт;5;4490,35;22451,75;;;132
105;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-02.712 Тумба выкатная лабораторная. ЦМ, на обрезиненных роликах, дверь правая, 1 полка. Габаритные размеры 500 х 520 х 620 мм. МРЛ-14.1;шт;14;1557,65;21807,1;;;143
106;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-02.713 Тумба выкатная лабораторная. ЦМ, на обрезиненных роликах, 3 ящика Габаритные размеры 500 х 520 х 620 мм. МРЛ-14.1;шт;48;2372,96;113902,08;;;128
107;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-02.724 Тумба выкатная лабораторная. ЦМ, 4 ящика. Габаритные размеры 500 х 520 х 780 мм МРЛ-14.2;шт;10;2871,91;28719,1;;;103
108;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-04.512 (МРЛ-24.2) Надстройка сервисная островная.Исп. 3, алюм., 2 полки, электрика, пристен., метал. экран. Габаритные размеры 1200 х 330 х 1000 мм;шт;2;7810,09;15620,18;;;155
109;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-05.512 (МРЛ-27.2) Надстройка титровальная островная. Исп.2, алюм. остров., профиль, 5 штативов, электрика.Габаритные размеры 1200 х 330 х 1000 мм;шт;2;8146,26;16292,52;;;153
110;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-07.101 Стол для весов МРЛ-08.1  исп.1, ЦМ каркас, гранит 630 х 430 х 60 мм. Габаритные размеры 630 х 430 х 750 мм;шт;2;3334,35;6668,7;;;121
111;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-07.510 Стол для весов МРЛ-09.1 . исп.2, стол в столе, SPC, гранит 630х430х60 мм. Габаритные размеры 1200 х 750 х 750 мм;шт;1;7240,52;7240,52;;;127
112;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-12.521 Шкаф-стол приставной (ШСЛ-03.2). SPC, рак. п/п 400 х 400 х 300 мм, тумба ЦМ 3 дв.Габаритные размеры 1500 х 750 х 900 мм;шт;2;9330,61;18661,22;;;134
113;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 01-15.210 Стол островной, SPC, открытый. Габаритные размеры 1200 х 1500 х 900 мм СЛ- (СЛ-14.2);шт;4;5037,91;20151,64;;;99
38;Прайслист ООО «Прибор-ГАНК»;"   - 01026004 Газоанализатор ГАНК-4С Ex (Cтац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Азотная кислота. Реле 1 - порог - 2
мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 1 - 40 мг/м3";комп.;13;62014,49;558130,41;;;227
